"StatRec","Survey","F_CODE","Quarter","Year","Lusitanian","Boreal","ratio","Lat","Lon"
"37F3","NS-IBTS","27.4.b",1,1968,5,9,0.555555555555556,3.5,54.25
"37F5","NS-IBTS","27.4.b",1,1968,1,2,0.5,5.5,54.25
"37F6","NS-IBTS","27.4.b",1,1968,1,2,0.5,6.5,54.25
"37F7","NS-IBTS","27.4.b",1,1968,NA,2,NA,7.5,54.25
"38F0","NS-IBTS","27.4.b",1,1968,1,3,0.333333333333333,0.5,54.75
"38F1","NS-IBTS","27.4.b",1,1968,NA,2,NA,1.5,54.75
"38F2","NS-IBTS","27.4.b",1,1968,NA,1,NA,2.5,54.75
"38F3","NS-IBTS","27.4.b",1,1968,4,6,0.666666666666667,3.5,54.75
"38F4","NS-IBTS","27.4.b",1,1968,5,6,0.833333333333333,4.5,54.75
"38F5","NS-IBTS","27.4.b",1,1968,1,1,1,5.5,54.75
"39E9","NS-IBTS","27.4.b",1,1968,4,10,0.4,-0.5,55.25
"39F0","NS-IBTS","27.4.b",1,1968,1,3,0.333333333333333,0.5,55.25
"39F1","NS-IBTS","27.4.b",1,1968,NA,2,NA,1.5,55.25
"39F2","NS-IBTS","27.4.b",1,1968,NA,1,NA,2.5,55.25
"39F3","NS-IBTS","27.4.b",1,1968,4,5,0.8,3.5,55.25
"39F4","NS-IBTS","27.4.b",1,1968,4,4,1,4.5,55.25
"39F5","NS-IBTS","27.4.b",1,1968,NA,1,NA,5.5,55.25
"39F6","NS-IBTS","27.4.b",1,1968,NA,1,NA,6.5,55.25
"40E8","NS-IBTS","27.4.b",1,1968,3,13,0.230769230769231,-1.5,55.75
"40E9","NS-IBTS","27.4.b",1,1968,3,8,0.375,-0.5,55.75
"40F0","NS-IBTS","27.4.b",1,1968,3,7,0.428571428571429,0.5,55.75
"40F1","NS-IBTS","27.4.b",1,1968,3,10,0.3,1.5,55.75
"40F2","NS-IBTS","27.4.b",1,1968,4,10,0.4,2.5,55.75
"40F3","NS-IBTS","27.4.b",1,1968,4,9,0.444444444444444,3.5,55.75
"40F4","NS-IBTS","27.4.b",1,1968,1,2,0.5,4.5,55.75
"40F5","NS-IBTS","27.4.b",1,1968,1,2,0.5,5.5,55.75
"40F6","NS-IBTS","27.4.b",1,1968,4,5,0.8,6.5,55.75
"41E8","NS-IBTS","27.4.b",1,1968,5,11,0.454545454545455,-1.5,56.25
"41E9","NS-IBTS","27.4.b",1,1968,3,8,0.375,-0.5,56.25
"41F0","NS-IBTS","27.4.b",1,1968,6,11,0.545454545454545,0.5,56.25
"41F2","NS-IBTS","27.4.b",1,1968,3,7,0.428571428571429,2.5,56.25
"41F3","NS-IBTS","27.4.b",1,1968,5,10,0.5,3.5,56.25
"41F4","NS-IBTS","27.4.b",1,1968,1,3,0.333333333333333,4.5,56.25
"41F5","NS-IBTS","27.4.b",1,1968,1,2,0.5,5.5,56.25
"41F6","NS-IBTS","27.4.b",1,1968,3,5,0.6,6.5,56.25
"42E7","NS-IBTS","27.4.b",1,1968,3,7,0.428571428571429,-2.5,56.75
"42E8","NS-IBTS","27.4.b",1,1968,4,8,0.5,-1.5,56.75
"42F2","NS-IBTS","27.4.b",1,1968,3,10,0.3,2.5,56.75
"42F3","NS-IBTS","27.4.b",1,1968,3,9,0.333333333333333,3.5,56.75
"42F4","NS-IBTS","27.4.b",1,1968,NA,2,NA,4.5,56.75
"42F5","NS-IBTS","27.4.b",1,1968,NA,1,NA,5.5,56.75
"42F7","NS-IBTS","27.4.b",1,1968,NA,1,NA,7.5,56.75
"43F4","NS-IBTS","27.4.b",1,1968,1,2,0.5,4.5,57.25
"43F5","NS-IBTS","27.4.b",1,1968,NA,3,NA,5.5,57.25
"43F6","NS-IBTS","27.4.b",1,1968,NA,3,NA,6.5,57.25
"43F7","NS-IBTS","27.4.b",1,1968,1,3,0.333333333333333,7.5,57.25
"43F8","NS-IBTS","27.3.a",1,1968,NA,3,NA,8.5,57.25
"44F8","NS-IBTS","27.3.a",1,1968,NA,1,NA,8.5,57.75
"44F9","NS-IBTS","27.3.a",1,1968,1,1,1,9.5,57.75
"33F2","NS-IBTS","27.4.c",1,1969,1,3,0.333333333333333,2.5,52.25
"33F3","NS-IBTS","27.4.c",1,1969,6,6,1,3.5,52.25
"33F4","NS-IBTS","27.4.c",1,1969,5,6,0.833333333333333,4.5,52.25
"34F3","NS-IBTS","27.4.c",1,1969,9,4,2.25,3.5,52.75
