"Year","ratio","sst","F_CODE","sst_lag1","sst_lag2"
1988,0.72,0.383029243070632,"27.4.a",-0.191339620078603,-0.359163580959042
1989,0.666666666666667,0.443279354088008,"27.4.a",0.383029243070632,-0.191339620078603
1990,1,0.703478305848936,"27.4.a",0.443279354088008,0.383029243070632
1991,0.833333333333333,0.373030669769893,"27.4.a",0.703478305848936,0.443279354088008
1992,0.892857142857143,0.40955142651995,"27.4.a",0.373030669769893,0.703478305848936
1993,0.964285714285714,-0.219240352759759,"27.4.a",0.40955142651995,0.373030669769893
1994,0.785714285714286,0.115380687763294,"27.4.a",-0.219240352759759,0.40955142651995
1995,0.851851851851852,0.184389228994648,"27.4.a",0.115380687763294,-0.219240352759759
1996,1.11538461538462,-0.0629194134225448,"27.4.a",0.184389228994648,0.115380687763294
1997,0.827586206896552,0.41681142039597,"27.4.a",-0.0629194134225448,0.184389228994648
1998,0.896551724137931,0.574870891620715,"27.4.a",0.41681142039597,-0.0629194134225448
1999,0.967741935483871,0.562526858846347,"27.4.a",0.574870891620715,0.41681142039597
2000,1.13793103448276,0.37242413200438,"27.4.a",0.562526858846347,0.574870891620715
2001,1.16666666666667,0.503997212151686,"27.4.a",0.37242413200438,0.562526858846347
2002,0.966666666666667,1.12880346526702,"27.4.a",0.503997212151686,0.37242413200438
2003,1.17857142857143,1.15166956074536,"27.4.a",1.12880346526702,0.503997212151686
2004,1.32142857142857,0.843224113434553,"27.4.a",1.15166956074536,1.12880346526702
2005,1.19354838709677,0.638599827388922,"27.4.a",0.843224113434553,1.15166956074536
2006,1.25806451612903,1.15490021842221,"27.4.a",0.638599827388922,0.843224113434553
2007,1.42857142857143,0.808275517572959,"27.4.a",1.15490021842221,0.638599827388922
2008,1.33333333333333,1.00977679056426,"27.4.a",0.808275517572959,1.15490021842221
2009,1.27586206896552,0.929341408424079,"27.4.a",1.00977679056426,0.808275517572959
2010,1.48275862068966,0.412408819546302,"27.4.a",0.929341408424079,1.00977679056426
2011,1.2258064516129,0.754153651930392,"27.4.a",0.412408819546302,0.929341408424079
2012,1.23333333333333,0.536746282689273,"27.4.a",0.754153651930392,0.412408819546302
2013,1.12121212121212,0.580837390571833,"27.4.a",0.536746282689273,0.754153651930392
2014,1.2258064516129,1.41882686031361,"27.4.a",0.580837390571833,0.536746282689273
2015,1.21212121212121,0.747167308876912,"27.4.a",1.41882686031361,0.580837390571833
2016,1.34375,1.11448554719488,"27.4.a",0.747167308876912,1.41882686031361
2017,1.13333333333333,1.25743416175246,"27.4.a",1.11448554719488,0.747167308876912
2018,1.2,0.820270918806394,"27.4.a",1.25743416175246,1.11448554719488
1967,0.5,0.218708005112906,"27.4.b",NA,NA
1968,0.722222222222222,0.218713079423954,"27.4.b",0.218708005112906,NA
1969,0.954545454545455,-0.0572054337244481,"27.4.b",0.218713079423954,0.218708005112906
1970,0.666666666666667,-0.417567109378676,"27.4.b",-0.0572054337244481,0.218713079423954
1971,0.85,0.212976307297746,"27.4.b",-0.417567109378676,-0.0572054337244481
1972,0.761904761904762,0.137718468904495,"27.4.b",0.212976307297746,-0.417567109378676
1973,0.9,0.427056413143873,"27.4.b",0.137718468904495,0.212976307297746
1974,1.1,0.226335404440761,"27.4.b",0.427056413143873,0.137718468904495
1975,0.954545454545455,0.531200258526951,"27.4.b",0.226335404440761,0.427056413143873
1976,1,0.310206260338115,"27.4.b",0.531200258526951,0.226335404440761
1977,1.04166666666667,-0.102874988069137,"27.4.b",0.310206260338115,0.531200258526951
1978,0.958333333333333,-0.2942325353312,"27.4.b",-0.102874988069137,0.310206260338115
1979,0.88,-0.988749587597946,"27.4.b",-0.2942325353312,-0.102874988069137
1980,1,-0.168975348894795,"27.4.b",-0.988749587597946,-0.2942325353312
1981,0.708333333333333,-0.320596696265663,"27.4.b",-0.168975348894795,-0.988749587597946
1982,0.909090909090909,0.0808957838453352,"27.4.b",-0.320596696265663,-0.168975348894795
1983,0.814814814814815,0.0907146057579666,"27.4.b",0.0808957838453352,-0.320596696265663
1984,0.903225806451613,-0.000369793114562829,"27.4.b",0.0907146057579666,0.0808957838453352
1985,0.88,-0.289139880643537,"27.4.b",-0.000369793114562829,0.0907146057579666
1986,0.896551724137931,-0.591882016975433,"27.4.b",-0.289139880643537,-0.000369793114562829
1987,0.862068965517241,-0.507075962920984,"27.4.b",-0.591882016975433,-0.289139880643537
1988,1.125,0.482804999997218,"27.4.b",-0.507075962920984,-0.591882016975433
1989,0.838709677419355,0.928222098698219,"27.4.b",0.482804999997218,-0.507075962920984
1990,1.07692307692308,1.01220208623757,"27.4.b",0.928222098698219,0.482804999997218
1991,1.25806451612903,0.40843237672622,"27.4.b",1.01220208623757,0.928222098698219
1992,1.06666666666667,0.692625335572908,"27.4.b",0.40843237672622,1.01220208623757
1993,1.21428571428571,-0.116573020505408,"27.4.b",0.692625335572908,0.40843237672622
1994,1,0.363114957076808,"27.4.b",-0.116573020505408,0.692625335572908
1995,1.21875,0.757892796148856,"27.4.b",0.363114957076808,-0.116573020505408
1996,1,-0.353067761752754,"27.4.b",0.757892796148856,0.363114957076808
1997,1.16666666666667,0.834374927294751,"27.4.b",-0.353067761752754,0.757892796148856
1998,1.21212121212121,0.563361695657174,"27.4.b",0.834374927294751,-0.353067761752754
1999,1.17647058823529,1.01684475690126,"27.4.b",0.563361695657174,0.834374927294751
2000,1.11428571428571,0.782139242626727,"27.4.b",1.01684475690126,0.563361695657174
2001,1.3125,0.792196431507667,"27.4.b",0.782139242626727,1.01684475690126
2002,1.28125,1.33098611359795,"27.4.b",0.792196431507667,0.782139242626727
2003,1.375,1.18793678190559,"27.4.b",1.33098611359795,0.792196431507667
2004,1.33333333333333,1.01449637673795,"27.4.b",1.18793678190559,1.33098611359795
2005,1.33333333333333,0.950262064424654,"27.4.b",1.01449637673795,1.18793678190559
2006,1.375,1.53745786535243,"27.4.b",0.950262064424654,1.01449637673795
2007,1.32352941176471,1.17898701115822,"27.4.b",1.53745786535243,0.950262064424654
2008,1.45454545454545,1.20391421268384,"27.4.b",1.17898701115822,1.53745786535243
2009,1.62962962962963,1.07071003938715,"27.4.b",1.20391421268384,1.17898701115822
2010,1.27272727272727,0.310251056061437,"27.4.b",1.07071003938715,1.20391421268384
2011,1.33333333333333,0.693676973848293,"27.4.b",0.310251056061437,1.07071003938715
2012,1.39393939393939,0.757788990313808,"27.4.b",0.693676973848293,0.310251056061437
2013,1.40625,0.463979674192766,"27.4.b",0.757788990313808,0.693676973848293
2014,1.35483870967742,1.7868762811025,"27.4.b",0.463979674192766,0.757788990313808
2015,1.28125,0.921826038509607,"27.4.b",1.7868762811025,0.463979674192766
2016,1.44827586206897,1.43611126144727,"27.4.b",0.921826038509607,1.7868762811025
2017,1.4375,1.25561154012879,"27.4.b",1.43611126144727,0.921826038509607
2018,1.3030303030303,1.18161730313053,"27.4.b",1.25561154012879,1.43611126144727
1967,1.33333333333333,0.231156551589568,"27.4.c",NA,NA
1968,1.42857142857143,-0.116052473895252,"27.4.c",0.231156551589568,NA
1969,1.11111111111111,0.0061512179672718,"27.4.c",-0.116052473895252,0.231156551589568
1970,1.22222222222222,-0.336134103437265,"27.4.c",0.0061512179672718,-0.116052473895252
1971,1.83333333333333,0.16218087853243,"27.4.c",-0.336134103437265,0.0061512179672718
1972,1.16666666666667,0.0482773433128993,"27.4.c",0.16218087853243,-0.336134103437265
1973,1.8,0.28527511159579,"27.4.c",0.0482773433128993,0.16218087853243
1974,1.8,0.138659335672855,"27.4.c",0.28527511159579,0.0482773433128993
1975,2,0.458934597418799,"27.4.c",0.138659335672855,0.28527511159579
1976,1.22222222222222,0.468932265299372,"27.4.c",0.458934597418799,0.138659335672855
1977,1.25,0.212412057444453,"27.4.c",0.468932265299372,0.458934597418799
1978,1.66666666666667,0.0120172910392284,"27.4.c",0.212412057444453,0.468932265299372
1979,1,-0.300762626032035,"27.4.c",0.0120172910392284,0.212412057444453
1980,1.44444444444444,-0.00524789979681373,"27.4.c",-0.300762626032035,0.0120172910392284
1981,1.22222222222222,-0.177008632570505,"27.4.c",-0.00524789979681373,-0.300762626032035
1982,1.33333333333333,0.288403437783321,"27.4.c",-0.177008632570505,-0.00524789979681373
1983,0.875,0.19842791898797,"27.4.c",0.288403437783321,-0.177008632570505
1984,0.947368421052632,0.00539346629132827,"27.4.c",0.19842791898797,0.288403437783321
1985,1.07142857142857,-0.355507857476672,"27.4.c",0.00539346629132827,0.19842791898797
1986,1,-0.595115706014136,"27.4.c",-0.355507857476672,0.00539346629132827
1987,1,-0.325612640318771,"27.4.c",-0.595115706014136,-0.355507857476672
1988,1.07142857142857,0.450921762734652,"27.4.c",-0.325612640318771,-0.595115706014136
1989,1.45454545454545,1.27074973285198,"27.4.c",0.450921762734652,-0.325612640318771
1990,1.76923076923077,1.19066342959801,"27.4.c",1.27074973285198,0.450921762734652
1991,1.82352941176471,0.260329561928908,"27.4.c",1.19066342959801,1.27074973285198
1992,2.0625,0.666884408642848,"27.4.c",0.260329561928908,1.19066342959801
1993,2.23076923076923,0.207115939507882,"27.4.c",0.666884408642848,0.260329561928908
1994,2.06666666666667,0.794129027674595,"27.4.c",0.207115939507882,0.666884408642848
